BCV	text	func_morph	form_morph	strongs	lemma	normalized
John 1:14	Λόγος	N-NSM	N-NSM	3056	λόγος	Λόγος	
John 1:14	σὰρξ	N-NSF	N-NSF	4561	σάρξ	σάρξ	
John 1:14	ἐγένετο	V-2ADI-3S	V-2ADI-3S	1096&5633	γίνομαι	ἐγένετο	
John 1:14	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:14	ἐσκήνωσεν	V-AAI-3S	V-AAI-3S	4637&5656	σκηνόω	ἐσκήνωσεν	
John 1:14	ἐν	PREP	PREP	1722	ἐν	ἐν	
John 1:14	ἡμῖν,	P-1DP	P-1DP	1473	ἐγώ	ἡμῖν	
John 1:14	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:14	ἐθεασάμεθα	V-ADI-1P	V-ADI-1P	2300&5662	θεάομαι	ἐθεασάμεθα	
John 1:14	τὴν	T-ASF	T-ASF	3588	ὁ	τήν	
John 1:14	δόξαν	N-ASF	N-ASF	1391	δόξα	δόξαν	
John 1:14	αὐτοῦ,	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:14	δόξαν	N-ASF	N-ASF	1391	δόξα	δόξαν	
John 1:14	ὡς	ADV	ADV	5613	ὡς	ὡς	
John 1:14	μονογενοῦς	A-GSM	A-GSM	3439	μονογενής	μονογενοῦς	
John 1:14	παρὰ	PREP	PREP	3844	παρά	παρά	
John 1:14	Πατρός,	N-GSM	N-GSM	3962	πατήρ	Πατρός	
John 1:14	πλήρης	A-NSM	A-NSM	4134	πλήρης	πλήρης	
John 1:14	χάριτος	N-GSF	N-GSF	5485	χάρις	χάριτος	
John 1:14	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:14	ἀληθείας.	N-GSF	N-GSF	225	ἀλήθεια	ἀληθείας	
John 1:15	Ἰωάνης	N-NSM	N-NSM	2491	Ἰωάννης	Ἰωάνης	
John 1:15	μαρτυρεῖ	V-PAI-3S	V-PAI-3S	3140&5719	μαρτυρέω	μαρτυρεῖ	
John 1:15	περὶ	PREP	PREP	4012	περί	περί	
John 1:15	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:15	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:15	κέκραγεν	V-2RAI-3S	V-2RAI-3S	2896&5754	κράζω	κέκραγεν	
John 1:15	λέγων	V-PAP-NSM	V-PAP-NSM	3004&5723	λέγω	λέγων	
John 1:15	Οὗτος	D-NSM	D-NSM	3778	οὗτος	Οὗτος	
John 1:15	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:15	ὃν	R-ASM	R-ASM	3739	ὅς	ὅν	
John 1:15	εἶπον	V-2AAI-1S	V-2AAI-1S	3004	λέγω	εἶπον	
John 1:15	Ὁ	T-NSM	T-NSM	3588	ὁ	Ὁ	
John 1:15	ὀπίσω	ADV	ADV	3694	ὀπίσω	ὀπίσω	
John 1:15	μου	P-1GS	P-1GS	1473	ἐγώ	μου	
John 1:15	ἐρχόμενος	V-PNP-NSM	V-PNP-NSM	2064&5740	ἔρχομαι	ἐρχόμενος	
John 1:15	ἔμπροσθέν	PREP	PREP	1715	ἔμπροσθεν	ἔμπροσθεν	
John 1:15	μου	P-1GS	P-1GS	1473	ἐγώ	μου	
John 1:15	γέγονεν,	V-2RAI-3S	V-2RAI-3S	1096&5754	γίνομαι	γέγονεν	
John 1:15	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
John 1:15	πρῶτός	A-NSM-S	A-NSM-S	4413	πρῶτος	πρῶτος	
John 1:15	μου	P-1GS	P-1GS	1473	ἐγώ	μου	
John 1:15	ἦν.	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:16	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
John 1:16	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
John 1:16	τοῦ	T-GSN	T-GSN	3588	ὁ	τοῦ	
John 1:16	πληρώματος	N-GSN	N-GSN	4138	πλήρωμα	πληρώματος	
John 1:16	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:16	ἡμεῖς	P-1NP	P-1NP	1473	ἐγώ	ἡμεῖς	
John 1:16	πάντες	A-NPM	A-NPM	3956	πᾶς	πάντες	
John 1:16	ἐλάβομεν,	V-2AAI-1P	V-2AAI-1P	2983&5627	λαμβάνω	ἐλάβομεν	
John 1:16	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:16	χάριν	N-ASF	N-ASF	5485	χάρις	χάριν	
John 1:16	ἀντὶ	PREP	PREP	473	ἀντί	ἀντί	
John 1:16	χάριτος·	N-GSF	N-GSF	5485	χάρις	χάριτος	
John 1:17	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
John 1:17	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:17	νόμος	N-NSM	N-NSM	3551	νόμος	νόμος	
John 1:17	διὰ	PREP	PREP	1223	διά	διά	
John 1:17	Μωϋσέως	N-GSM	N-GSM	3475	Μωϋσῆς	Μωϋσέως	
John 1:17	ἐδόθη,	V-API-3S	V-API-3S	1325&5681	δίδωμι	ἐδόθη	
John 1:17	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
John 1:17	χάρις	N-NSF	N-NSF	5485	χάρις	χάρις	
John 1:17	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:17	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
John 1:17	ἀλήθεια	N-NSF	N-NSF	225	ἀλήθεια	ἀλήθεια	
John 1:17	διὰ	PREP	PREP	1223	διά	διά	
John 1:17	Ἰησοῦ	N-GSM	N-GSM	2424	Ἰησοῦς	Ἰησοῦ	
John 1:17	Χριστοῦ	N-GSM	N-GSM	5547	Χριστός	Χριστοῦ	
John 1:17	ἐγένετο.	V-2ADI-3S	V-2ADI-3S	1096&5633	γίνομαι	ἐγένετο	
John 1:18	Θεὸν	N-ASM	N-ASM	2316	θεός	Θεόν	
John 1:18	οὐδεὶς	A-NSM-N	A-NSM-N	3762	οὐδείς	οὐδείς	
John 1:18	ἑώρακεν	V-RAI-3S-ATT	V-RAI-3S-ATT	3708&5758	ὁράω	ἑώρακεν	
